# Topologies for the library: topology_mining_and_Longxing_chip_3
# Author: Hugh Haddox
# Index: topology_mining_and_Longxing_chip_3.index.csv
library,name,topology
topology_mining_and_Longxing_chip_3,relaxed_singles1A3B07alternateC_A_B_D-39-2o80_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_singl_3a1b_00_0508_0001_0003,3a1b
topology_mining_and_Longxing_chip_3,relaxed_singles2A3B13centroidD_C_E_B_A-54-3pc80_0001,2a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B002B_A_C_D-35-0pcp40_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_006_0199_0001_0002,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0503_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a2b_058_0050_0001_0002,1a2b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-203_0005,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_022_0041_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-36-5_0004,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_059_0359_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_1a4b_00_0054_0001_0003,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_112_0346_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,des_singl_1a3b-Nterm08c-35-C402_0005,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B042C_B_A_D-33-0o_0001,1a3b
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm03c-40-C1518_0003,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_059_0329_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_3a0b_05_0021_0001_0003,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_022_0511_0001_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs5A0B000C_A_D_B-49-1pcp80_0001,5a0b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_065_0025_0001_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a2b_058_0030_0001_0003,1a2b
topology_mining_and_Longxing_chip_3,des__f_singl_2a4b_00_0460_0001_0002,2a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-40-347_0002,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B029C_A_B-37-1p40_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A2B145C_A_B-31-0o80_0001,1a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0335_0001_0002,HHH
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-33-75_0005,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_022_0358_0001_0002,2a2b
topology_mining_and_Longxing_chip_3,relaxed_singles2A2B00centroidB_A-35-1pc40_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_singles2A4B00alternateB_C_D_A-50-4pc_0001,2a4b
topology_mining_and_Longxing_chip_3,relaxed_singles2A3B13alternateA_B_E_C_D-56-0p_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a2b_058_0126_0001_0003,1a2b
topology_mining_and_Longxing_chip_3,des__f_singl_2a2b_06_0024_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,relaxed_singles1A4B04alternateC_D_E_A_B-45-3o_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_singl_0a6b_01_0019_0001_0001,0a6b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B055D_C_A_B-42-0pcp40_0001,1a3b
topology_mining_and_Longxing_chip_3,des_singl_2a3b-Nterm09ca-43-D77_0002,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_065_0014_0001_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0230_0001_0003,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0340_0001_0002,1a3b
topology_mining_and_Longxing_chip_3,des__f_singl_4A0B_00_0199_0001_0002,4h
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B037C_D_B_A-39-0o40_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B054B_E_D_A_C-45-1p_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_065_0093_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B036A_C_B-35-4o80_0001,HHH
topology_mining_and_Longxing_chip_3,des_singl_2a3b-Nterm03c-46-D27_0003,2a3b
topology_mining_and_Longxing_chip_3,relaxed_singles2A4B00alternateC_D_A_B-44-2pc40_0001,2a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B033C_B_A-35-1o60_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B039E_D_C_B_A-49-1pc_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_singl_2a4b_00_0254_0001_0002,2a4b
topology_mining_and_Longxing_chip_3,des_singl_1a4b-Nterm00c-44-D5_0003,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B087A_C_D_E_B-49-2pcp40_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B055A_B_D_C-41-4pc_0001,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-033-32-b769_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs5A0B000C_A_D_B-52-0o40_0001,5a0b
topology_mining_and_Longxing_chip_3,relaxed_singles2A2B05alternateA_B_C_D-55-3o80_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_2a4b_00_0142_0001_0001,2a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B037B_A_C_E_D-42-0o40_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B040B_A_C_D-35-3pcp_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_007_0437_0001_0002,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-007-31-b691_0001,HHH
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm03c-42-C1445_0004,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B031A_B_C-36-0o80_0001,HHH
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-033-32-b775_0005,HHH
topology_mining_and_Longxing_chip_3,des__f_singl_0a6b_01_0166_0001_0003,0a6b
